,comment,toxic
3795,"дегенератов везде хватает. Маркировать бы их как нибудь,чтобы видно было издалека.
",1.0
4640,"Почему я не видел в продаже орочьих кружек? Охеренно же!
",0.0
7932,"Напоминает новую машину в минимальной комплектации, но соответствующую всем стандартам.
",0.0
4184,"не узнать его ебанутый говор - это ещё уметь надо
",1.0
1366,"Я более субъективно оцениваю и на собственном опыте могу сказать, что недостаток углеводов очень негативно сказывается на умственной и физической активности. А также как раз он приводит потом к капитальным зажорам, потому что именно полный отказ и нехватка главный враг диеты длиннее трех дней. Лучше после неплотного обеда выпить чаю с сахаром на 20 калорий и активно заниматься делами, чем через час начать тупить и съесть ненужный углеводный перекус на 120 калорий, потому что уже нет сил терпеть.
",0.0
2246,"Ну рентабельность зависит, сколько за это готово будет платить государство. Плюс можно проводить опыты над людьми, т.к. луна не в юрисдикции ООН, там всякие генные модификации и т.д.
",0.0
3226,"Шшшшшш, тш тш тш тшшшш, спокойно, всё хорошо, я прикалываюсь ;-) Грамматик доминатус!
",1.0
9949,"А сколько платит государство? Вот это прям очень интересно)
",0.0
1383,"Magic Fly - заглавная композиция с дебютного альбома. Just Blue почему-то не получила такой славы. Хотя согласен, она более ценная, как произведение искусства
",0.0
470,"Обивку лучше химчистка, душевую кабину силит бенк, пароочиститель убирает застарелый жир, а с известью хуже справляется.
",1.0
8132,"Ну где то в МСК может быть. Тут дуба, ну пусть полкуба с запасом. Это около 45к, работы. Две сотни откуда? Ладно б ещё геммор был бы, но так в посте лестница простая как 3 копейки жеж )
",0.0
2362,"Удачи на демо экзамене парень) сам на worlskills межотраслевой 4 раза гонял от ОАК,один раз даже на Hi tech пробился)",0.0
11614,"Главное, что Навального не коснется
",0.0
8671,"Кто за рулем то, че съябывал?
",1.0
3094,"Обычная строительная страховка тех лет. Пояс и цепь. Довольно надёжная система.
",0.0
7084,"Это в среднем. Что бы значить что перед тобой лежит. Лампа с приписанной мощностью или нормальное изделие. Вообще хорошая светодиодная лампа, сейчас не может стоит дешевле 150 рублей
",0.0
2188,"оптом продаю по 100 руб, обычно с оплатой сразу. себестоимость сильно скачет в зависимости от количества брака. мой принтер, например, тот еще любитель пару листов зажевать или усрать черными кляксами
",0.0
5452,"Так я тоже не званным не открываю. А слесарь, да мало ли, когда он, домофон, нужен, тот же врач. Я на 5 этаже живу, не набегаешься на 1 этаж. У меня еще и сигнализация стоит)
",0.0
5041,"бедная пидораха, и здесь хохлы ей выноваты
",1.0
3170,"Да. Офигенно вкусные оказались: очень сочные и сладкие. Сам удивлен был)
",0.0
8109,"Да, поэтому одно из самых.В Ванкувере цены раздуты китайскими инвесторами.
",0.0
